icu,n,true_days,pred_median_type,pred_smeared,pred_ols_raw,bias_pct_median_type,bias_pct_smeared,bias_pct_ols_raw
CCU,336.0,2932.0,2218.7672381739476,3000.473315837001,2920.6447173345955,-24.325810430629346,2.335379121316538,-0.38728794902471014
CSRU,516.0,4633.0,4158.290423854066,5588.526876901984,5182.037555754787,-10.246267561967064,20.624366002632936,11.850583979166561
MICU,846.0,9707.0,6802.701321432147,9143.046155925378,9850.202792534386,-29.91963200337749,-5.8097645418215915,1.4752528333613515
SICU,672.0,9571.0,6774.8172402899745,9053.389710219357,9631.180274013444,-29.215157869710847,-5.408110853418067,0.6287772856905698
ALL,2370.0,26843.0,19954.576223750133,26785.436058883723,27584.065339637214,-25.66189984819084,-0.21444675005132594,2.760739632817548
