held_out_icu,model,n_test,prevalence,mean_predicted,obs_over_pred,auc_roc,brier
CCU,logreg,1769,0.12662521198417184,0.14499438659412464,0.8733111326483783,0.8392134766527971,0.08511208737120782
CCU,rf,1769,0.12662521198417184,0.14664854927937007,0.8634603792973558,0.8446081830790567,0.0858003946264239
CSRU,logreg,2530,0.04861660079051383,0.09001310446316002,0.540105811042339,0.8626397938262723,0.038660250444366266
CSRU,rf,2530,0.04861660079051383,0.12324044617494487,0.39448575771545463,0.8823924799281229,0.04289066177572734
MICU,logreg,4293,0.1984626135569532,0.17956925818710667,1.1052148656211527,0.8197816171464513,0.12393861255278654
MICU,rf,4293,0.1984626135569532,0.17633889057222762,1.1254613937568343,0.7928384995627158,0.12942046527021803
SICU,logreg,3408,0.14906103286384975,0.13156724440541626,1.1329646184921793,0.8571259842519685,0.0944736656927473
SICU,rf,3408,0.14906103286384975,0.13389930438920475,1.1132323169549443,0.8283586749932121,0.10196682694322967
