window_h,n_features,mean_variables_measured_per_patient,share_with_lactate,share_with_any_lab,auc_logreg,auc_logreg_lo,auc_logreg_hi,aucpr_logreg,auc_rf,auc_rf_lo,auc_rf_hi,aucpr_rf
6,269,19.525333333333332,0.35699338746128734,0.7615,0.7756576876569355,0.7526799654794168,0.7994746391532492,0.36536640468733333,0.7715821676952197,0.7483463964346462,0.7958790444021646,0.3632463805285441
12,269,22.821,0.4315068493150685,0.9175833333333333,0.793114842355783,0.769695826567293,0.8161896569712208,0.3898510531862576,0.7788693939346465,0.7546126343511206,0.8030054112788207,0.3852174284073424
24,269,25.450333333333333,0.49345233130369504,0.9805,0.8171406841290437,0.796499940872292,0.8384649130754518,0.44341440398179954,0.8140884949702258,0.792100162102971,0.8338985698343724,0.4419738620802177
36,269,26.1805,0.5226021684737281,0.9845,0.8398875404311804,0.8186623497905103,0.8609171729778726,0.4873767092081647,0.8277905882051333,0.8064790166481555,0.8480165690197364,0.47938602977278244
48,269,26.708666666666666,0.5484570475396163,0.98525,0.846879232722658,0.825432176625591,0.8669567636206814,0.5075081505979255,0.8427033024316392,0.8213723752942562,0.861669389444537,0.5186061069617479
