feature_set,horizon_hours,split,n,prevalence,auroc,auprc,brier,log_loss,threshold,sensitivity,specificity,precision,alerts_per_100,false_negatives,true_positives,false_positives,true_negatives
presence_only,24,validation,1800,0.14222222222222222,0.7023343891677462,0.27001531023453773,0.11447791010141373,0.37823012471199036,0.12659643590450287,0.78125,0.542098445595855,0.2205071664829107,50.388888888888886,56,200,707,837
presence_only,24,test,1800,0.14222222222222222,0.7035373826101035,0.24370720363886483,0.11541419476270676,0.37901759147644043,0.12659643590450287,0.7578125,0.5602331606217616,0.2222222222222222,48.5,62,194,679,865
presence_plus_counts,24,validation,1800,0.14222222222222222,0.7204804889896373,0.280116545155386,0.113480344414711,0.3725133538246155,0.13116736710071564,0.78515625,0.5952072538860104,0.24334140435835352,45.888888888888886,55,201,625,919
presence_plus_counts,24,test,1800,0.14222222222222222,0.7197493320919689,0.2756041935994329,0.11322782933712006,0.37244245409965515,0.13116736710071564,0.7109375,0.6126943005181347,0.23333333333333334,43.333333333333336,74,182,598,946
presence_only,48,validation,1800,0.14222222222222222,0.6983547704825128,0.26209251094221947,0.11489199846982956,0.379222571849823,0.11155445873737335,0.796875,0.5284974093264249,0.21888412017167383,51.77777777777778,52,204,728,816
presence_only,48,test,1800,0.14222222222222222,0.6977716159326425,0.2418244841369772,0.11586224287748337,0.3805527091026306,0.11155445873737335,0.77734375,0.5408031088082902,0.21916299559471367,50.44444444444444,57,199,709,835
presence_plus_counts,48,validation,1800,0.14222222222222222,0.728884998380829,0.2867631091639817,0.11290764808654785,0.3691748082637787,0.11741157621145248,0.80078125,0.5576424870466321,0.23085585585585586,49.333333333333336,51,205,683,861
presence_plus_counts,48,test,1800,0.14222222222222222,0.7420078732189119,0.3110887026771488,0.11074522137641907,0.3627626597881317,0.11741157621145248,0.78515625,0.5919689119170984,0.24187725631768953,46.166666666666664,55,201,630,914
