target_sensitivity,n,prevalence,auroc,auprc,brier,log_loss,threshold,sensitivity,specificity,precision,alerts_per_100,false_negatives,true_positives,false_positives,true_negatives
0.7,1800,0.14222222222222222,0.8815222231217616,0.5924611100196372,0.08422672970714742,0.2750593505258704,0.20760890836039986,0.68359375,0.8626943005181347,0.45219638242894056,21.5,81,175,212,1332
0.8,1800,0.14222222222222222,0.8815222231217616,0.5924611100196372,0.08422672970714742,0.2750593505258704,0.1362605797347986,0.78125,0.7843264248704663,0.37523452157598497,29.61111111111111,56,200,333,1211
0.9,1800,0.14222222222222222,0.8815222231217616,0.5924611100196372,0.08422672970714742,0.2750593505258704,0.07696312410312449,0.91796875,0.6580310880829016,0.30799475753604194,42.388888888888886,21,235,528,1016
0.95,1800,0.14222222222222222,0.8815222231217616,0.5924611100196372,0.08422672970714742,0.2750593505258704,0.046316564189756514,0.96875,0.5414507772020726,0.2594142259414226,53.111111111111114,8,248,708,836
