held_out_icu,predicted_mean,n,prevalence,auroc,auprc,brier,log_loss,threshold,sensitivity,specificity,precision,alerts_per_100,false_negatives,true_positives,false_positives,true_negatives
1,0.13445711450644504,1769,0.12662521198417184,0.8481044845122515,0.5118815960023971,0.08261525867555027,0.2785767636794428,0.12405982517854085,0.7767857142857143,0.7533980582524272,0.31351351351351353,31.37365743357829,50,174,381,1164
2,0.0947462130450666,2530,0.04861660079051383,0.8816358790924843,0.43436468911697906,0.038705857516591606,0.15202518617315944,0.1291410056384131,0.7723577235772358,0.857914416285833,0.21739130434782608,17.272727272727273,28,95,342,2065
3,0.15576842719338496,4293,0.1984626135569532,0.815026407597966,0.5496086616552406,0.12479168728264171,0.3997694745147477,0.0845597263037117,0.8309859154929577,0.6344086021505376,0.36012207527975587,45.7954810156068,144,708,1258,2183
4,0.12217887540633363,3408,0.14906103286384975,0.8568856910127615,0.5544997542681235,0.09410913241768855,0.30641844438906,0.09159583985504348,0.8405511811023622,0.6917241379310345,0.32323996971990915,38.76173708920188,81,427,894,2006
