analysis,n,prevalence,auroc,auprc,brier,log_loss,threshold,sensitivity,specificity,precision,alerts_per_100,false_negatives,true_positives,false_positives,true_negatives
official_all,1800,0.14222222222222222,0.8815222231217616,0.5924611100196372,0.08422672970714742,0.2750593505258704,0.1029612883717615,0.84765625,0.7299222797927462,0.3422712933753943,35.22222222222222,39,217,417,1127
official_model_hard_valid_test,1790,0.13743016759776536,0.8785016218037828,0.5700921186953742,0.08346727791215913,0.27288885950067077,0.1029612883717615,0.8455284552845529,0.7299222797927462,0.3328,34.91620111731844,38,208,417,1127
retrained_without_hard_invalid,1790,0.13743016759776536,0.8749262816462362,0.5573937217399109,0.08495912149241402,0.27693899521155013,0.1309688751117831,0.7764227642276422,0.780440414507772,0.360377358490566,29.608938547486034,55,191,339,1205
