metric,point_estimate,ci_2_5,ci_97_5,bootstrap_repeats
auroc,0.8815222231217616,0.8606638106649992,0.9010034085975359,1000
auprc,0.5924611100196372,0.5291608800431669,0.6540369441586394,1000
brier,0.08422672970714742,0.07606019514946032,0.09263044742136681,1000
