subgroup,n,prevalence,auroc,auprc,brier,log_loss,threshold,sensitivity,specificity,precision,alerts_per_100,false_negatives,true_positives,false_positives,true_negatives
ICUType_1,277,0.17328519855595667,0.8568959243085881,0.5637853063842069,0.10692585282654586,0.34066284207811315,0.1029612883717615,0.8125,0.7248908296943232,0.38235294117647056,36.82310469314079,9,39,63,166
ICUType_2,372,0.026881720430107527,0.9585635359116021,0.28607493858662664,0.022794909428636743,0.08821843017465686,0.1029612883717615,1.0,0.9088397790055248,0.23255813953488372,11.559139784946236,0,10,33,329
ICUType_3,627,0.19298245614035087,0.838009995753438,0.6206905751051691,0.1117592347631402,0.3587712784091513,0.1029612883717615,0.8512396694214877,0.6027667984189723,0.33881578947368424,48.484848484848484,18,103,201,305
ICUType_4,524,0.14694656488549618,0.8904384206397629,0.6376718287802284,0.08289485827475267,0.2728556795866778,0.1029612883717615,0.8441558441558441,0.7315436241610739,0.35135135135135137,35.30534351145038,12,65,120,327
age_<65,796,0.08793969849246232,0.917827626918536,0.6121469613157808,0.05057897207210241,0.17959657099796034,0.1029612883717615,0.8428571428571429,0.8044077134986226,0.2935323383084577,25.251256281407034,11,59,142,584
age_65_79,595,0.15126050420168066,0.8522992299229923,0.5370682266309552,0.09789371438699541,0.31198977563436464,0.1029612883717615,0.8555555555555555,0.7069306930693069,0.3422222222222222,37.81512605042017,13,77,148,357
age_80+,409,0.23471882640586797,0.836528221512247,0.6343459993183059,0.12983005291738287,0.4071248017842136,0.1029612883717615,0.84375,0.5942492012779552,0.3894230769230769,50.8557457212714,15,81,127,186
female,772,0.1489637305699482,0.8666799020581033,0.5722181155247166,0.0907173697197262,0.29512291722949896,0.1029612883717615,0.8608695652173913,0.7016742770167428,0.33559322033898303,38.21243523316062,16,99,196,461
male,1025,0.1375609756097561,0.8935287699367799,0.6184033435844921,0.07950642002215887,0.2603108815460969,0.1029612883717615,0.8368794326241135,0.752262443438914,0.35014836795252224,32.8780487804878,23,118,219,665
