maximum_death_los_gap_days,n,prevalence,auroc,auprc,brier,log_loss,threshold,sensitivity,specificity,precision,alerts_per_100,false_negatives,true_positives,false_positives,true_negatives
2,1734,0.10957324106113034,0.8820118625579494,0.5271112733330479,0.07075396118145703,0.23813955223856045,0.1029612883717615,0.8421052631578947,0.7299222797927462,0.2772963604852686,33.27566320645906,30,160,417,1127
5,1763,0.12422007941009643,0.8792408971538079,0.5466618605269692,0.07779114804622393,0.2573302744429739,0.1029612883717615,0.8356164383561644,0.7299222797927462,0.305,34.03289846851957,36,183,417,1127
10,1777,0.13111986494091166,0.876453779270164,0.5544161797788814,0.08129150931745104,0.26718324005076094,0.1029612883717615,0.8412017167381974,0.7299222797927462,0.3197389885807504,34.49634214969049,37,196,417,1127
all,1790,0.13743016759776536,0.8785016218037828,0.5700921186953742,0.08346727791215913,0.27288885950067077,0.1029612883717615,0.8455284552845529,0.7299222797927462,0.3328,34.91620111731844,38,208,417,1127
