readout,subgroup,n,mae_days,rmse_days,median_ae_days,r2,spearman,true_sum_bed_days,predicted_sum_bed_days,sum_bias_percent
individual_direct,survived_to_discharge,1545,6.461390403958215,12.110505671980395,3.4822621350190612,0.09767869981435595,0.555367265375307,18209.0,13331.496882818736,-26.78622174299118
individual_direct,in_hospital_death,230,7.7169060253992345,13.964638331082641,5.108709679761193,0.08716358738810293,0.3590168037208927,2588.0,2362.1766686979518,-8.725785598997227
individual_direct,long_stay_total_LOS_25+,227,25.050954651560797,31.95133882576245,19.52894397015305,-1.6507897024857026,0.10265338279909533,8434.0,2747.433294095699,-67.42431474868746
individual_direct,ICUType_1,245,4.897276178170764,8.036749367309154,2.7838777495180365,0.18747075712482486,0.6044510773691768,2165.0,1718.558166911669,-20.620869888606506
individual_direct,ICUType_2,388,4.744832363979575,9.942865052092005,2.770287106390657,0.12335729082498603,0.5475982566059133,3838.0,3228.415807106674,-15.882860679867795
individual_direct,ICUType_3,647,7.12412943104595,12.775354467910331,4.113512635837628,0.07812768103206635,0.4578458500444562,7609.0,5684.394991059159,-25.293796937059284
individual_direct,ICUType_4,495,8.298176155948736,15.019853773003552,4.603038665930416,0.031815712576676924,0.4651453574965182,7185.0,5062.304586439184,-29.543429555474123
cohort_smeared,survived_to_discharge,1545,6.913123643468708,11.827192214078782,4.42823462344022,0.13940272903863338,0.5132013334638277,18209.0,17414.503850351655,-4.363205830349523
cohort_smeared,in_hospital_death,230,9.317591795555945,14.78448749782236,7.4957439339572,-0.023166045725469875,0.3302377897702638,2588.0,3222.4498186435567,24.515062544186886
cohort_smeared,long_stay_total_LOS_25+,227,21.26320131361486,29.543828522349173,15.90713256014059,-1.2663694181646008,0.08668733883236421,8434.0,3649.6322291298793,-56.72714928705384
cohort_smeared,ICUType_1,245,5.334827055857381,7.787958932608888,3.990907162043392,0.23699838671598306,0.5738803754609019,2165.0,2224.750574005985,2.7598417554727517
cohort_smeared,ICUType_2,388,5.608803772846037,10.07304265567494,3.9198515077358653,0.10025201819227492,0.4783262477713961,3838.0,4332.854874544313,12.893561087657977
cohort_smeared,ICUType_3,647,7.721596650588658,12.815348121548537,4.939587007818627,0.07234674521990014,0.4326447445584579,7609.0,7254.620314478455,-4.657375286128861
cohort_smeared,ICUType_4,495,8.777172962943112,14.626979989143653,5.80358360221436,0.08180281798790778,0.42053468943545413,7185.0,6824.727905966461,-5.014225386688091
