subgroup,level,n,mae_days,rmse_days,median_ae_days,r2,spearman
In-hospital_death,survived_to_discharge,1512,6.341081546837769,12.88258838155136,3.4391143251942773,0.0937898814730177,0.5740959107884523
In-hospital_death,in_hospital_death,263,8.61117413782664,14.975925383420623,5.799176636146438,0.07707576630558621,0.3597492059031769
