metric,point_estimate,ci_2.5%,ci_97.5%,bootstrap_repeats
mae_days,6.677438927925134,6.166772148669952,7.244521383351362,1000
rmse_days,13.213700994923128,10.961084497104718,15.485554773804155,1000
median_ae_days,3.662301822323421,3.4886032133312934,3.8665011871879713,1000
