method,n,prevalence,auroc,auprc,brier,log_loss,threshold,sensitivity,specificity,precision,f1,calibration_intercept,calibration_slope
uncalibrated,1800,0.14222222222222222,0.8815222231217616,0.5924611100196372,0.08422672970714742,0.2750593505258704,0.1029612883717615,0.84765625,0.7299222797927462,0.3422712933753943,0.48764044943820223,0.20854286044125292,1.1064087037534844
platt,1800,0.14222222222222222,0.8815222231217616,0.5924611100196372,0.08410061464048078,0.274110519471321,0.10284467306617344,0.84765625,0.7299222797927462,0.3422712933753943,0.48764044943820223,0.0446741798161133,1.0299429931499051
isotonic,1800,0.14222222222222222,0.8799334115932642,0.5571013474521573,0.08421155069052426,0.30592851047538755,0.15384615384615385,0.84765625,0.7299222797927462,0.3422712933753943,0.48764044943820223,-0.1377748485225317,0.8763734404110514
