model,horizon_hours,subgroup_type,subgroup_level,threshold,n,prevalence,auroc,auprc,brier,log_loss,sensitivity,specificity,precision,f1
hist_gradient_boosting,6,ICU类型,CCU,0.1929099730123538,277,0.17328519855595667,0.7990356622998543,0.5065723540742231,0.1189731506679157,0.3789257090331516,0.5625,0.8384279475982532,0.421875,0.48214285714285715
hist_gradient_boosting,6,ICU类型,CSRU,0.1929099730123538,372,0.026881720430107527,0.7922651933701658,0.08492454672732884,0.02767557423285085,0.12051053944665716,0.1,0.9558011049723757,0.058823529411764705,0.07407407407407407
hist_gradient_boosting,6,ICU类型,MICU,0.1929099730123538,627,0.19298245614035087,0.7186489399928135,0.36774201968028286,0.1427566727689064,0.4440007468369124,0.6363636363636364,0.6739130434782609,0.3181818181818182,0.42424242424242425
hist_gradient_boosting,6,ICU类型,SICU,0.1929099730123538,524,0.14694656488549618,0.8310816700078445,0.4375796779642999,0.10298498282854308,0.33093463342810003,0.6233766233766234,0.8389261744966443,0.4,0.4873096446700508
hist_gradient_boosting,6,性别,女性,0.1929099730123538,772,0.1489637305699482,0.7788101383098406,0.3852409243050737,0.11000259214166715,0.3545498591942552,0.6434782608695652,0.7701674277016742,0.3288888888888889,0.43529411764705883
hist_gradient_boosting,6,性别,男性,0.1929099730123538,1025,0.1375609756097561,0.8251099130323161,0.404603177135575,0.09918021591170498,0.3192818270172359,0.5602836879432624,0.8438914027149321,0.3640552995391705,0.441340782122905
hist_gradient_boosting,6,性别,未知,0.1929099730123538,3,0.0,,,,,,,,
hist_gradient_boosting,6,年龄,<45岁,0.1929099730123538,215,0.07441860465116279,0.8203517587939698,0.33537770700029734,0.06012151669578253,0.21725185518679183,0.5,0.9296482412060302,0.36363636363636365,0.42105263157894735
hist_gradient_boosting,6,年龄,45–64岁,0.1929099730123538,581,0.09294320137693632,0.8222292501229883,0.33364123771410636,0.0746167095039235,0.2551207088831003,0.46296296296296297,0.8614800759013282,0.25510204081632654,0.32894736842105265
hist_gradient_boosting,6,年龄,65–79岁,0.1929099730123538,595,0.15126050420168066,0.7882728272827283,0.4304674828208424,0.10790147035366049,0.3508359232709312,0.5888888888888889,0.80990099009901,0.35570469798657717,0.4435146443514644
