stage,model,preprocess,fold,fit_seconds,n,prevalence,auroc,auprc,brier,log_loss
24h_train_cv,logistic,raw_median,1,0.28183190000709146,1680,0.14226190476190476,0.8119013121408598,0.4566719745163158,0.09912870824337006,0.3281445801258087
24h_train_cv,logistic,raw_median,2,0.2876560000004247,1680,0.14226190476190476,0.8002636476877111,0.3936383581909315,0.10542293637990952,0.3504806458950043
24h_train_cv,logistic,raw_median,3,0.27806490001967177,1680,0.14226190476190476,0.8126649612803755,0.41773134188883526,0.10222324728965759,0.3685203492641449
24h_train_cv,logistic,raw_median,4,0.304855199996382,1680,0.14226190476190476,0.8073136100859758,0.4239613735675593,0.10358258336782455,0.3382265269756317
24h_train_cv,logistic,raw_median,5,0.2682779000024311,1680,0.14226190476190476,0.8078014163804191,0.4377950473346927,0.10189621150493622,0.3407594561576843
24h_train_cv,logistic,raw_median_indicator,1,0.5073550000088289,1680,0.14226190476190476,0.8126039854935698,0.4556828907121899,0.1004495695233345,0.3313950300216675
24h_train_cv,logistic,raw_median_indicator,2,0.5348926999722607,1680,0.14226190476190476,0.7985156751326223,0.38817320412196,0.10687422752380371,0.3596159815788269
24h_train_cv,logistic,raw_median_indicator,3,0.5334070000099018,1680,0.14226190476190476,0.8048106992180581,0.4033915740782438,0.10447773337364197,0.3795434534549713
24h_train_cv,logistic,raw_median_indicator,4,0.5425855999928899,1680,0.14226190476190476,0.8099413761364,0.4098987853276714,0.10523957759141922,0.34283876419067383
24h_train_cv,logistic,raw_median_indicator,5,0.5199815999949351,1680,0.14226190476190476,0.8112247712682092,0.4251879421462603,0.10319899767637253,0.3476042151451111
24h_train_cv,logistic,raw_mean_indicator,1,0.45640819997061044,1680,0.14226190476190476,0.8121336008524995,0.4553529253797448,0.1005086898803711,0.3317570388317108
24h_train_cv,logistic,raw_mean_indicator,2,0.5026890000444837,1680,0.14226190476190476,0.7982891936387736,0.38775498454500473,0.10696645826101303,0.3599788248538971
24h_train_cv,logistic,raw_mean_indicator,3,0.5404603999922983,1680,0.14226190476190476,0.8050952528898168,0.4034493149873585,0.10444922745227814,0.3793661296367645
24h_train_cv,logistic,raw_mean_indicator,4,0.5440707000088878,1680,0.14226190476190476,0.8097439307315063,0.40995535348970014,0.10533232986927032,0.3432423770427704
24h_train_cv,logistic,raw_mean_indicator,5,0.46935620001750067,1680,0.14226190476190476,0.8111899279614633,0.42494992103547313,0.1031828224658966,0.3475450873374939
24h_train_cv,logistic,raw_winsor_median_indicator,1,1.1145284000085667,1680,0.14226190476190476,0.8090702934677511,0.45350217374157964,0.10017457608502188,0.33392898619070194
24h_train_cv,logistic,raw_winsor_median_indicator,2,1.1867823000065982,1680,0.14226190476190476,0.7986753736218747,0.3874293476598423,0.10754423610658237,0.3549801639898615
24h_train_cv,logistic,raw_winsor_median_indicator,3,1.1739229999948293,1680,0.14226190476190476,0.8140645007680045,0.432151925985881,0.1016236911881021,0.33510584915649155
24h_train_cv,logistic,raw_winsor_median_indicator,4,1.2058253000141121,1680,0.14226190476190476,0.8145377890179705,0.416984448319983,0.10482318044882982,0.3407728741799743
24h_train_cv,logistic,raw_winsor_median_indicator,5,1.2551155000110157,1680,0.14226190476190476,0.8238757952258862,0.4523846800101282,0.1014808379372751,0.32867583919028653
24h_train_cv,logistic,clean_median_indicator,1,0.5620474999886937,1680,0.14226190476190476,0.8095174492376576,0.4531637652891775,0.10096827894449234,0.33376938104629517
24h_train_cv,logistic,clean_median_indicator,2,0.5886370999505743,1680,0.14226190476190476,0.8041399655631984,0.3917078369409161,0.10666418820619583,0.3582109808921814
24h_train_cv,logistic,clean_median_indicator,3,0.6086913000326604,1680,0.14226190476190476,0.8149907520056676,0.42504575873458217,0.10158983618021011,0.34673652052879333
24h_train_cv,logistic,clean_median_indicator,4,0.5811209999956191,1680,0.14226190476190476,0.812891442774224,0.4137851621023865,0.10467493534088135,0.3409959375858307
24h_train_cv,logistic,clean_median_indicator,5,0.5630651999963447,1680,0.14226190476190476,0.8217532571232786,0.4343779823805813,0.10210780054330826,0.33684471249580383
24h_train_cv,logistic,clean_winsor_median_indicator,1,1.1194826999562792,1680,0.14226190476190476,0.8080133798297906,0.45024543913437215,0.10127836852850168,0.3357854090796285
24h_train_cv,logistic,clean_winsor_median_indicator,2,1.215560299984645,1680,0.14226190476190476,0.8007572611999454,0.3874582877446502,0.10743044013865066,0.35358637918256275
24h_train_cv,logistic,clean_winsor_median_indicator,3,1.211834799963981,1680,0.14226190476190476,0.811001193383256,0.42433204640827465,0.10244504897067108,0.33838327968370274
24h_train_cv,logistic,clean_winsor_median_indicator,4,1.1938963999855332,1680,0.14226190476190476,0.8121394080702906,0.41874273480582647,0.10470406899022368,0.3408312870096964
24h_train_cv,logistic,clean_winsor_median_indicator,5,1.1472306000068784,1680,0.14226190476190476,0.8271946201934385,0.45698579205387235,0.10081387476820969,0.3263791480720533
24h_train_cv,hist_gradient_boosting,raw_median,1,1.4286359999678098,1680,0.14226190476190476,0.8297352779769975,0.47699498516014044,0.09625091327337952,0.3148396783188076
24h_train_cv,hist_gradient_boosting,raw_median,2,1.370065099967178,1680,0.14226190476190476,0.823681253429888,0.4259565061043157,0.09987498947745317,0.3226240805667708
24h_train_cv,hist_gradient_boosting,raw_median,3,1.496348200016655,1680,0.14226190476190476,0.8417765440666205,0.48287997051043746,0.09515235801519231,0.3085707475287658
24h_train_cv,hist_gradient_boosting,raw_median,4,1.312948199978564,1680,0.14226190476190476,0.8457138377289133,0.4874668142422691,0.09480321750680872,0.3083506951714283
24h_train_cv,hist_gradient_boosting,raw_median,5,2.0859600999974646,1680,0.14226190476190476,0.8428595901846405,0.4773887983583473,0.09550201513580713,0.3089177486634278
