model,preprocess,folds,auroc_mean,auroc_sd,auprc_mean,auprc_sd,brier_mean,brier_sd,fit_seconds_total
hist_gradient_boosting,raw_median_indicator,5,0.8365651468209838,0.009334145984730062,0.47120970945924984,0.025570633337606095,0.09625863301172943,0.0020934623320877895,12.388578599959146
hist_gradient_boosting,raw_median,5,0.8367533006774119,0.009525518776025737,0.47013741487510197,0.025071110560734345,0.09631669868172817,0.002060084029928882,7.693957599927671
hist_gradient_boosting,clean_winsor_median_indicator,5,0.8382962784444785,0.011721331567926376,0.4672713479708227,0.026863124730661197,0.0960680594101215,0.002262938401618272,15.917040599975735
hist_gradient_boosting,clean_median_indicator,5,0.836922871436909,0.012092686882264237,0.462933729983665,0.02593716477753559,0.09654962011719079,0.002232147207526697,11.620381599990651
hist_gradient_boosting,raw_winsor_median_indicator,5,0.8350825641189434,0.010201658805659519,0.4624391158898093,0.031172618644573595,0.09677306741353849,0.0023473663916820753,14.891658899898175
hist_gradient_boosting,raw_mean_indicator,5,0.8326081086182014,0.01002631888832918,0.46144567032120165,0.026657494616702398,0.09708613993303353,0.0018086603851952458,12.783202600083314
hist_gradient_boosting,raw_native_missing,5,0.8344519002668417,0.010819475919512891,0.4563706289294565,0.01933058018037434,0.09719873846464298,0.0019387457976289514,10.075400000088848
logistic,raw_winsor_median_indicator,5,0.8120447504202973,0.00919042823062605,0.42849051514348285,0.027515128378427706,0.10312930435316225,0.003003147110969145,5.936174500035122
logistic,clean_winsor_median_indicator,5,0.8118211725353441,0.009669875282129552,0.4275528600293992,0.027734533110937393,0.10333436027925136,0.00273974433394708,5.888004799897317
logistic,raw_median,5,0.8079889895150683,0.004933133073459204,0.42595961909966695,0.023450413506697677,0.10245073735713958,0.0023189529160353383,1.420685900026001
logistic,clean_median_indicator,5,0.8126585733408053,0.006531460359313269,0.42361610108952874,0.022944014207994017,0.10320100784301758,0.0023948974486574393,2.9035620999638923
logistic,raw_median_indicator,5,0.8074193014497719,0.005783657517019855,0.4164668792772651,0.02563487862464583,0.10404802113771439,0.002411513880521201,2.6382218999788165
logistic,raw_mean_indicator,5,0.807290381214812,0.005712335613855682,0.4162924998874563,0.025593770654878632,0.10408790558576583,0.0024287430551822977,2.512984500033781
