model,preprocess,horizon_hours,training_population,evaluation_subset,threshold,n,prevalence,auroc,auprc,brier,log_loss,sensitivity,specificity,precision,f1
logistic,clean_winsor_median_indicator,6,all_official_labels,all_test,0.13060912591739077,1800,0.14222222222222222,0.7702269875323834,0.35222503706462044,0.10997472737466195,0.3566750847660063,0.73046875,0.6923575129533679,0.2824773413897281,0.4074074074074074
logistic,clean_winsor_median_indicator,6,all_official_labels,exclude_hard_rule_anomalies,0.13060912591739077,1790,0.13743016759776536,0.7711018787649015,0.3429922056103929,0.10743060077587897,0.3493160983903135,0.7357723577235772,0.6923575129533679,0.2759146341463415,0.401330376940133
logistic,clean_winsor_median_indicator,6,all_official_labels,exclude_hard_and_death_gap_gt2,0.13060912591739077,1734,0.10957324106113034,0.7810403599672757,0.31359128625682964,0.09081071404971482,0.3029838279860198,0.7578947368421053,0.6923575129533679,0.23263327948303716,0.35599505562422745
logistic,clean_winsor_median_indicator,6,all_official_labels,exclude_hard_and_death_gap_gt5,0.13060912591739077,1763,0.12422007941009643,0.777657510587456,0.3309479574788714,0.09924233502158955,0.32612538715759576,0.7488584474885844,0.6923575129533679,0.2566510172143975,0.3822843822843823
logistic,clean_winsor_median_indicator,6,all_official_labels,exclude_hard_and_death_gap_gt10,0.13060912591739077,1777,0.13111986494091166,0.7720735395494673,0.33319812511367974,0.10395896665629727,0.33956760107077216,0.7424892703862661,0.6923575129533679,0.26697530864197533,0.3927355278093076
logistic,clean_winsor_median_indicator,6,exclude_hard_rule_anomalies,exclude_hard_rule_anomalies,0.11538675500598622,1790,0.13743016759776536,0.7747904292514428,0.34496650596352046,0.10674373210069583,0.34766892303402486,0.7723577235772358,0.6658031088082902,0.26912181303116145,0.39915966386554624
logistic,clean_winsor_median_indicator,6,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt2,0.11538675500598622,1734,0.10957324106113034,0.7826390782656121,0.30996845905140225,0.09029528905982344,0.3017516049291042,0.7842105263157895,0.6658031088082902,0.22406015037593985,0.3485380116959064
logistic,clean_winsor_median_indicator,6,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt5,0.11538675500598622,1763,0.12422007941009643,0.7807065796011072,0.3322458143099492,0.09849260706486121,0.3243623594186221,0.7808219178082192,0.6658031088082902,0.24890829694323144,0.37748344370860926
logistic,clean_winsor_median_indicator,6,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt10,0.11538675500598622,1777,0.13111986494091166,0.7753813738353088,0.3347911737668979,0.1032435551673193,0.3379390634555566,0.7811158798283262,0.6658031088082902,0.2607449856733524,0.39097744360902253
logistic,clean_winsor_median_indicator,12,all_official_labels,all_test,0.11490033650777569,1800,0.14222222222222222,0.7988660743199482,0.3788801531923046,0.10709102393214606,0.3419327963339059,0.77734375,0.6936528497409327,0.2961309523809524,0.42887931034482757
logistic,clean_winsor_median_indicator,12,all_official_labels,exclude_hard_rule_anomalies,0.11490033650777569,1790,0.13743016759776536,0.7985356375584483,0.3667025009309269,0.10485224368673093,0.33560438347606764,0.7764227642276422,0.6936528497409327,0.2876506024096386,0.4197802197802198
logistic,clean_winsor_median_indicator,12,all_official_labels,exclude_hard_and_death_gap_gt2,0.11490033650777569,1734,0.10957324106113034,0.8098036542132534,0.32726439539036195,0.08957758020299769,0.2910114984290631,0.7947368421052632,0.6936528497409327,0.2419871794871795,0.371007371007371
logistic,clean_winsor_median_indicator,12,all_official_labels,exclude_hard_and_death_gap_gt5,0.11490033650777569,1763,0.12422007941009643,0.8073349184943337,0.3498036553949804,0.09716798296144842,0.3122514751694249,0.7899543378995434,0.6936528497409327,0.2678018575851393,0.4
logistic,clean_winsor_median_indicator,12,all_official_labels,exclude_hard_and_death_gap_gt10,0.11490033650777569,1777,0.13111986494091166,0.7998815850919522,0.35617290237316107,0.10158224643313896,0.3260761407114037,0.776824034334764,0.6936528497409327,0.27675840978593275,0.4081172491544532
logistic,clean_winsor_median_indicator,12,exclude_hard_rule_anomalies,exclude_hard_rule_anomalies,0.0989432895394312,1790,0.13743016759776536,0.7987646910147858,0.37234598249844064,0.10443709608964806,0.3347409320023552,0.7926829268292683,0.6599740932642487,0.2708333333333333,0.40372670807453415
logistic,clean_winsor_median_indicator,12,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt2,0.0989432895394312,1734,0.10957324106113034,0.8092105263157896,0.33339493731544334,0.08895027645990834,0.28954937257966634,0.8157894736842105,0.6599740932642487,0.22794117647058823,0.3563218390804598
logistic,clean_winsor_median_indicator,12,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt5,0.0989432895394312,1763,0.12422007941009643,0.8072314098469253,0.3564174707027479,0.09664121897251471,0.31105636122339686,0.8082191780821918,0.6599740932642487,0.25213675213675213,0.38436482084690554
logistic,clean_winsor_median_indicator,12,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt10,0.0989432895394312,1777,0.13111986494091166,0.7999705352576219,0.36211511543673797,0.10108772728316909,0.3250121978045386,0.7939914163090128,0.6599740932642487,0.2605633802816901,0.39236479321314954
logistic,clean_winsor_median_indicator,24,all_official_labels,all_test,0.13061872499249064,1800,0.14222222222222222,0.8323095450129534,0.4304519285974225,0.10198391002923925,0.3257735980655815,0.78125,0.7610103626943006,0.351493848857645,0.48484848484848486
logistic,clean_winsor_median_indicator,24,all_official_labels,exclude_hard_rule_anomalies,0.13061872499249064,1790,0.13743016759776536,0.8305425670837019,0.4151667945155223,0.10036211808888738,0.3213274600993489,0.7804878048780488,0.7610103626943006,0.3422459893048128,0.4758364312267658
logistic,clean_winsor_median_indicator,24,all_official_labels,exclude_hard_and_death_gap_gt2,0.13061872499249064,1734,0.10957324106113034,0.8350184074175074,0.3570147622544345,0.0872589349461625,0.28321861883926314,0.7842105263157895,0.7610103626943006,0.2876447876447876,0.4209039548022599
logistic,clean_winsor_median_indicator,24,all_official_labels,exclude_hard_and_death_gap_gt5,0.13061872499249064,1763,0.12422007941009643,0.8365568883526154,0.38692958089530055,0.09399507372623653,0.3012120185502939,0.7853881278538812,0.7610103626943006,0.3179297597042514,0.45263157894736844
logistic,clean_winsor_median_indicator,24,all_official_labels,exclude_hard_and_death_gap_gt10,0.13061872499249064,1777,0.13111986494091166,0.8336937668171407,0.4011495955105438,0.09727831635730262,0.3115446166627596,0.7854077253218884,0.7610103626943006,0.33152173913043476,0.4662420382165605
logistic,clean_winsor_median_indicator,24,exclude_hard_rule_anomalies,exclude_hard_rule_anomalies,0.12372399519912741,1790,0.13743016759776536,0.8305583638737943,0.4143587340842062,0.10020155772036896,0.32151239211947263,0.7886178861788617,0.7610103626943006,0.34458259325044405,0.4796044499381953
logistic,clean_winsor_median_indicator,24,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt2,0.12372399519912741,1734,0.10957324106113034,0.8347525224979547,0.3559422398474279,0.08673207638013751,0.28210745778306195,0.7947368421052632,0.7610103626943006,0.2903846153846154,0.4253521126760563
logistic,clean_winsor_median_indicator,24,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt5,0.12372399519912741,1763,0.12422007941009643,0.83586781649987,0.386155054770476,0.09374079560292387,0.3010870088021459,0.7945205479452054,0.7610103626943006,0.32044198895027626,0.4566929133858268
logistic,clean_winsor_median_indicator,24,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt10,0.12372399519912741,1777,0.13111986494091166,0.833463052324935,0.4003250993261467,0.09707113429257527,0.311561233259118,0.7939914163090128,0.7610103626943006,0.33393501805054154,0.4701397712833545
logistic,clean_winsor_median_indicator,48,all_official_labels,all_test,0.11113725370694767,1800,0.14222222222222222,0.8616949684261657,0.5501125369732224,0.09009719790507403,0.2945884750077595,0.79296875,0.758419689119171,0.3524305555555556,0.4879807692307692
logistic,clean_winsor_median_indicator,48,all_official_labels,exclude_hard_rule_anomalies,0.11113725370694767,1790,0.13743016759776536,0.8575735077298958,0.5276357771693271,0.08967841834887137,0.2934437571085827,0.7845528455284553,0.758419689119171,0.3409893992932862,0.4753694581280788
