held_out_icu,predicted_mean,n,prevalence,auroc,auprc,brier,log_loss,threshold,sensitivity,specificity,precision,f1
1,0.13445711450644504,1769,0.12662521198417184,0.8481044845122515,0.5118815960023971,0.08261525867555027,0.2785767636794428,0.12405982517854085,0.7767857142857143,0.7533980582524272,0.31351351351351353,0.4467265725288832
2,0.09444811484876676,2530,0.04861660079051383,0.8784372139525302,0.43608602373449523,0.03845367216616802,0.15193007059534944,0.08904389835861674,0.8048780487804879,0.7756543415039469,0.15492957746478872,0.25984251968503935
3,0.15576842719338496,4293,0.1984626135569532,0.815026407597966,0.5496086616552406,0.12479168728264171,0.3997694745147477,0.0845597263037117,0.8309859154929577,0.6344086021505376,0.36012207527975587,0.5024840312278211
4,0.12217887540633363,3408,0.14906103286384975,0.8568856910127615,0.5544997542681235,0.09410913241768855,0.30641844438906,0.09159583985504348,0.8405511811023622,0.6917241379310345,0.32323996971990915,0.4669218151995626
