model,horizon_hours,calibration_intercept,calibration_slope
hist_gradient_boosting,6,0.15018143681556634,1.0713977233572236
hist_gradient_boosting,12,0.20017781307583318,1.130352004203002
hist_gradient_boosting,24,0.2116988301882016,1.1308861841380953
hist_gradient_boosting,48,0.20854286618195894,1.1064087083047345
logistic,6,-0.3946375503829794,0.7217693196781427
logistic,12,-0.33224606288229497,0.7472009697950137
logistic,24,-0.32266254602361044,0.7564396032655264
logistic,48,-0.21664169544797582,0.7966412934684044
